Название;Ссылка
Excel Hacks;https://tmtr.me/joinchat/AAAAAESVUy9AP-URKedPlA
Не баг, а фича;https://tmtr.me/joinchat/AAAAAEGyZv8xLS6GGR1qmQ
???Хауди Хо - ???? ю???, x???инг ??????;https://tmtr.me/howdyho_official
Книги для программистов;https://tmtr.me/progbook
Фотошоп | Фотография | Дизайн;https://tmtr.me/photoshop_hack
IT и СОРМ;https://tmtr.me/itsorm
Эксплойт;https://tmtr.me/joinchat/AAAAAE3zHuKXF0sgmzL3OQ
Типичный программист;https://tmtr.me/tproger_official
IT Юмор;https://tmtr.me/ithumor
Excel Everyday;https://tmtr.me/excel_everyday
IT_Texnologe ??;https://tmtr.me/joinchat/AAAAAFKeFHCHtsSU0QU4CA
Microsoft Excel;https://tmtr.me/excel_microsoft
Incognito | Soft;https://tmtr.me/joinchat/AAAAAFIsCS2aM1LtxoFkrg
VTosters;https://tmtr.me/vtosters
Иллюстратор;https://tmtr.me/joinchat/AAAAAFhp_0cxA9LcGgy7ag
Сайтодел;https://tmtr.me/joinchat/AAAAAEm5CygyQAU1vvCEOw
1С Hacks;https://tmtr.me/joinchat/AAAAAFRaAgaZqL2rZOpY9g
Clean Code;https://tmtr.me/codeclean
Python Textbooks;https://tmtr.me/python_textbooks
Типичный Сисадмин;https://tmtr.me/sysodmins
Denis Sexy IT ??;https://tmtr.me/denissexy
Remote IT (Inflow);https://tmtr.me/remoteit
WebDEV;https://tmtr.me/webb_dev
Programmer memes;https://tmtr.me/joinchat/AAAAAFDwzutQI2aGNPgqmA
Библиотека фронтендера;https://tmtr.me/frontendproglib
Программист;https://tmtr.me/progeri
Библиотека джависта;https://tmtr.me/javaproglib
Библиотека Python разработчика;https://tmtr.me/bookpython
Daily Coding ??;https://tmtr.me/dailycoding
Эксперт IT-Tech ??;https://tmtr.me/joinchat/AAAAAFLj09qZ48WtdZDlgg
FrontEnd Development;https://tmtr.me/fedevelopment
Рабы галерные;https://tmtr.me/rabynagalerah
Хакер — Xakep.RU;https://tmtr.me/xakep_ru
CODE BLOG | Программирование;https://tmtr.me/codeblog
Книги по программированию;https://tmtr.me/python_books_archive
Веб-стандарты;https://tmtr.me/webstandards_ru
Epic Growth Channel;https://tmtr.me/epicgrowth
